;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882;1882
;2763;2396;2396;2752;2453;2803;2586;2763;2453;2845;2547;2048;2547;2547;2803
;3026;4924;5725;2656;5675;2678;2500;2728;5675;5036;5555;4033;2601;5555;3410
;6424;5807;7159;1532;5940;2885;7078;3579;775;7135;4764;4122;1727;5662;3142
;1057;2884;7155;1684;3199;2706;4446;4455;4527;4673;3643;3879;1760;6391;7737
;2306;2990;5843;1651;341;2667;2886;3705;2624;1920;3088;5127;2679;5841;5346
;1827;3521;1150;1544;4916;2449;2256;2837;2155;2714;3239;4810;2674;7658;4916
;4304;2230;3085;2439;1363;1854;3002;3786;5132;5980;5749;3331;2748;2817;1916
;1691;1953;4028;3426;1564;3122;2262;4779;4126;2876;3855;2457;4305;2926;5423
;3022;1544;2219;4810;2488;1789;3362;1012;4963;5375;3816;1119;5503;1203;2975
;1510;2686;4992;3194;5263;2638;2616;5301;4824;3208;4169;319;3663;2217;2667
;1530;1452;1964;5762;5571;2364;2201;24;3903;3537;3913;0;3631;1405;2185
;889;1399;1453;5301;5377;4360;3176;5548;3641;2681;3340;0;3605;710;2958
;1246;1401;1145;5407;6606;2978;2972;4931;2159;1638;5444;0;4575;806;2068
;1847;1369;1501;4679;5431;3577;1355;5763;1674;1329;6338;0;4001;662;1699
;2037;2026;1453;4556;5520;3260;3719;4205;2044;543;4772;0;3911;25;1814
;1160;1159;3375;7066;3844;2380;990;176;2047;26;4171;0;839;690;1015
;3065;1936;2859;8533;3245;1648;144;3050;1714;1625;5089;0;3747;1848;879
;129;966;3531;7951;3861;1650;36;8132;2725;2720;5357;0;176;833;1142
;636;1958;2739;2863;4083;2436;717;6087;1741;2375;5042;0;4332;188;2105
;4562;1261;2677;5080;2103;1560;1403;2717;3887;1772;2540;0;123;139;2466
;365;2612;2239;3827;2380;1135;1070;2997;2182;2923;3259;0;2755;115;6533
;1834;2941;1401;4655;3609;1638;87;3432;86;3327;4351;0;3617;117;4552
;639;2168;2002;3509;1838;1066;19;195;3107;2067;435;0;3374;95;4726
;2166;1856;2134;3439;2316;1142;896;62;2546;3428;2252;0;4005;35;5613
;4369;2213;108;4190;1716;1679;493;2354;2666;2994;2041;0;4870;45;5554
;127;2473;4365;4079;2178;1542;329;3098;835;3201;2008;0;5678;26;5373
;2124;1868;1045;4447;2293;1938;131;2835;2196;76;2295;0;3835;128;7432
;1460;1291;588;4490;2282;1763;247;2362;1784;2452;1877;0;4329;23;8703
;1313;2831;1462;1285;2320;1374;8;2657;1708;1870;1274;0;3083;13;8861
;1351;2653;2831;1929;1336;1700;23;1982;2257;767;2201;0;4014;26;9344
;1775;2096;5356;2262;2906;1526;5;3665;3056;1412;1649;0;5721;362;11802
;363;2094;5186;3322;2246;1409;3;2300;2015;1662;3192;0;4236;35;9936
;1113;2586;3320;32;2271;1429;4;1657;1649;2159;3795;0;1834;4;11102
;1258;171;2229;321;1872;1126;11;2651;1878;4642;2965;0;2060;6;9153
;1301;519;847;458;2039;1714;63;1541;1896;1626;4094;0;2648;8;9653
;1471;44;2254;7;2591;2016;37;1920;1699;2314;2843;0;2653;4;1673
;1590;572;1687;18;2607;3012;50;923;2393;2656;2681;0;2157;6;1036
;2048;883;2394;18;2620;2749;17;1848;2392;2524;3256;0;3856;7;1619
;90;1793;1191;12;2782;3014;92;372;2237;3293;3030;0;3341;3;2103




























































