;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718;1718
;1222;2238;1989;1722;1835;1676;3264;2526;1780;2284;1498;1835;403;1780;2526
;1498;4999;2536;2782;1612;2280;9341;2128;968;5081;1928;1840;1285;5951;2881
;4828;6231;3181;2404;3336;2513;11349;4207;2468;3092;5083;2292;1913;5561;3271
;2851;8181;6021;3648;830;2619;1785;2476;1954;3351;1184;20;2754;8252;6831
;985;5560;5246;5423;2236;3659;3171;2840;2233;4331;610;2309;2433;3377;1844
;1819;5792;3851;4691;3977;4696;6907;3842;3083;575;100;3923;2366;2671;2111
;2096;5595;2923;4676;4195;5652;5278;3821;3235;4886;1563;3568;3609;5848;1838
;5020;6735;2222;5087;6882;4718;3989;2907;2708;4258;1612;26;2732;4740;2133
;4927;8777;2551;4582;6211;4294;3866;2951;3006;3249;2052;3254;2636;4754;2160
;3456;5385;3762;4772;3215;3682;2367;6222;115;1457;2062;1478;2548;3445;2954
;8542;7195;2960;4499;34;3693;1872;16251;1522;3314;2573;3797;14370;2082;1761
;3114;6101;188;5335;2520;3721;2016;7739;1467;2286;2782;3315;16199;1029;3951
;1193;6254;2298;5345;2849;2953;101;4460;3048;987;3196;3805;8879;1037;5228
;1133;4799;26;5369;2563;4201;247;1735;2975;3459;3626;3668;10190;1553;6530
;44;3687;2241;6617;1802;5396;53;1697;3626;4372;4462;2822;10070;1496;2660
;821;3783;2467;86;600;3594;65;704;2417;1108;24;2373;1669;1590;97
;1132;2506;3089;121;1308;4514;16;1337;2955;996;1347;1514;2539;1445;1148
;1152;2632;3174;2789;1334;4352;316;1103;3587;2;2019;77;2521;2038;504
;370;434;5593;5241;845;6314;97;5283;3619;236;2145;96;2331;2621;729
;1277;7388;2603;5875;1567;9047;79;2753;3655;27;2047;1041;2019;3580;703
;1399;877;1651;4411;455;7720;143;10188;3325;2027;5782;963;1798;4878;929
;103;1955;104;4326;1754;5016;120;7260;3304;51;3219;1507;2365;846;23
;966;1035;57;4826;404;4860;43;4016;2967;36;1144;1556;4667;2453;12
;1347;987;88;4730;106;7656;5;1251;2573;713;1769;3045;2005;3227;180
;1028;884;2202;4147;44;5418;47;704;1771;672;99;4123;2735;1806;11
;931;346;926;4281;27;5318;157;862;1907;316;1019;3038;5320;3920;310
;1430;187;873;4427;87;5787;43;1133;3251;505;1355;788;5346;1709;32
;1028;172;821;7183;148;5141;61;1563;3861;922;1000;2076;6442;1829;21
;1127;286;795;3804;184;6281;22;1665;3917;2114;849;1474;6495;2089;137
;605;111;840;2374;72;6005;29;2180;3093;1711;90;149;3979;1308;4
;1150;302;814;2143;17;3076;223;2024;3774;856;831;214;4821;974;8
;700;19;677;2823;3;3076;145;1990;3196;2104;45;147;3406;1705;35
;552;27;693;1035;13;5543;34;2136;3607;1193;39;101;4739;1394;4
;703;23;779;77;3;5494;10;3573;3607;1098;37;101;5664;1613;7
;743;7;793;105;3;6290;9;2974;3607;836;17;162;5095;1579;4
;865;2;784;111;3;6557;3;2219;3607;491;19;6;6602;2051;2
;803;0;543;106;3;7899;3;1811;3607;261;9;147;5623;1443;5
;1015;0;857;93;3;7457;3;2026;3607;933;39;14;5423;1540;4
;746;0;667;34;3;8387;3;2135;3607;2058;9;25;5132;1474;3




























































