;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330
;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088;8088
;7127;2323;2244;2323;2323;2244;8287;8345;2244;2244;2323;2323;7127;2323;8287;2244;2244;8287;8287;2323;2244;2323;2244;2323;2244
;6735;12588;10426;12588;12588;10582;10142;13725;10582;10426;1009;12588;6735;12588;12792;10426;10582;7320;10142;16339;10582;16339;11842;16339;10582
;2540;12295;14300;14194;12295;10711;13842;18205;10711;9375;14204;15676;2540;12295;12623;9375;10711;13842;9285;16510;10711;16964;13841;12560;10711
;12473;14757;13252;18362;15258;2386;1205;20720;2386;9280;14061;18701;12473;14757;12514;9280;2386;1205;12443;20562;2386;16639;9080;6179;2386
;14339;15912;26645;20203;19033;16396;9510;13186;40838;8207;15979;11896;11913;14537;11438;10404;40838;9510;15797;11249;16396;10705;9028;8838;40838
;18138;21447;13682;14281;11802;23966;8115;733;45207;9366;14336;18041;14753;12040;13183;8255;45207;8115;15330;17471;23966;15020;8952;7025;45207
;14158;15033;17095;8085;11123;8334;1818;10413;35095;7445;10899;12212;20955;13393;11810;4647;35095;1818;1396;9774;8334;12066;9816;7237;35095
;26330;29049;21296;686;28553;7421;11060;16570;16875;7118;10108;10553;16266;175;12170;5196;16875;11060;727;362;8790;11726;9966;4917;16875
;778;12566;16932;4034;11070;9799;706;18710;21795;7763;8047;13837;15991;4512;12261;6461;21795;706;4301;8536;8512;12939;10866;5988;11846
;13657;11903;7153;356;10954;10768;5497;15308;19522;7396;8500;17580;12050;6651;11746;6717;19522;5497;6481;4365;7813;13028;11185;2039;14576
;4350;11915;8558;2369;10383;13480;4516;17925;21351;7231;10829;19159;9938;7677;11884;5287;21351;4516;6099;6122;12947;10945;16290;7101;16655
;4377;11817;10876;1862;12992;14712;6795;16493;7085;17249;14884;11274;7285;5866;10844;6169;7085;6795;7848;8172;6860;11012;11229;6760;26273
;4875;11915;15614;798;30595;18801;10324;22016;151;10266;18716;286;6559;6121;14781;11297;151;10324;9260;6965;7933;12000;12274;6311;19866
;3995;14173;8099;452;10762;14891;12679;7641;431;473;576;10302;6235;4530;17777;7408;431;7778;9552;4646;8231;17824;12447;4093;7635
;5012;18593;8781;221;12175;12505;3909;11704;167;634;545;11411;4913;5007;48929;7874;167;10988;4898;4695;7483;19360;12080;4553;7918
;5729;16620;7303;505;14909;4354;4850;10527;280;3701;17490;10885;138;5108;37893;356;280;8520;4528;9135;401;13844;939;4369;7938
;5148;20561;8790;124;2059;5087;4556;13888;5065;2080;9328;8998;3573;4455;21833;6698;5065;7402;5398;6320;3853;17739;12233;5958;2005
;5849;13212;6273;303;7968;2535;4294;13602;5009;1230;5568;11456;4559;4893;23392;323;5438;9957;6160;311;2604;11352;14133;4899;8696
;5308;10728;7230;247;9694;2748;3435;1528;606;1340;5340;12277;5590;747;17431;4838;641;5130;5949;3479;3756;131;8796;4322;5309
;4580;11293;7808;244;11296;1587;3647;1222;271;1379;467;691;3214;175;25560;3042;296;3087;6193;2456;2614;132;12482;3490;5612
;3679;7016;11639;625;12231;1499;6343;1556;1486;2171;812;427;229;747;36209;1461;1580;2731;5800;1959;1729;1190;11575;8367;15589
;3547;8476;11113;836;14586;196;629;1222;1456;1528;495;6562;2956;175;2300;1087;1105;518;3521;1455;2143;770;9875;145;5599
;4965;7028;10043;336;763;75;5087;11099;1486;1342;407;3629;1202;747;4728;681;167;2266;1621;957;1770;9495;565;127;6986
;4335;6531;4021;333;1314;114;4238;7685;1456;1440;878;734;759;175;14096;1812;2002;761;3715;444;2778;3269;9802;1974;876
;3215;15233;4146;144;12609;697;638;9014;1486;108;1043;479;160;747;17292;1870;129;185;170;226;3238;2194;9310;1135;663
;4769;3042;4337;228;4713;622;118;8907;1456;146;1639;3077;663;175;8813;1405;782;208;106;54;539;1304;10448;550;379
;3472;4118;4801;284;4558;691;311;11380;1486;64;2004;1134;325;747;10113;1865;129;327;1568;186;697;446;417;1227;576
;1257;3192;1960;69;1067;490;442;12724;1456;910;162;514;1061;175;420;2736;782;407;1358;266;173;9791;4850;788;300
;493;2972;1973;54;2934;419;309;15417;1486;107;523;135;280;747;417;3189;129;273;169;127;54;4915;1601;217;519
;112;2253;3157;30;2375;746;311;14003;1456;385;1227;243;95;3905;6505;3706;782;861;182;30;109;1831;4000;756;428
;46;3784;3893;15;4601;44;270;22161;1486;54;160;93;147;746;582;4470;713;740;311;198;384;231;3805;25;111
;50;3538;2007;16;4753;267;146;16145;1456;568;116;86;100;3055;2288;3386;782;262;128;40;227;137;2969;118;411
;55;3613;2009;15;2679;223;68;3086;1486;46;120;40;111;7982;4162;3162;129;48;311;30;105;142;2093;24;246
;89;4894;2075;16;4059;169;73;1047;1456;250;1495;28;20;1779;3309;2863;782;54;128;40;116;108;2947;59;217
;76;5112;811;15;6836;195;24;17461;1486;60;322;29;18;997;2472;2170;713;24;311;30;47;367;4294;54;518
;35;3316;337;29;4217;191;25;705;1456;89;163;30;19;731;880;1275;56;11;128;40;104;142;4320;51;293
;19;3906;403;15;2413;231;24;23907;1486;22;140;126;18;1837;578;1296;248;17;311;29;110;35;3693;26;197
;38;377;459;29;4202;42;23;12710;1456;23;22;16;157;2864;213;590;580;17;128;58;49;108;2196;90;203




























































