;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915;1915
;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453;2453
;5761;4170;4815;7483;11708;6146;6146;4815;4170;3150;3150;5357;3150;4170;5043
;2258;649;10299;4099;9708;10509;2486;5931;2386;1609;4283;5853;3398;2249;6899
;4263;131;5199;8332;1523;769;2739;9287;1848;2936;2356;7089;2598;2035;4375
;2819;6075;663;3567;5843;2477;2178;7123;27;4236;2043;9255;2850;2191;2591
;2384;1678;2921;5005;4955;3482;2975;11449;2050;1466;25;7215;65;114;3457
;59;1200;844;1812;12689;3635;3294;5863;4336;1504;2100;5016;1803;2842;1043
;544;7844;48;1873;15923;3509;2302;3135;62;2040;2199;3875;1004;279;602
;739;1506;3249;4638;3523;1271;2484;3549;4633;2933;3152;3436;1846;1176;1586
;2707;762;939;2861;1681;1389;4560;3958;3122;2393;2183;3844;17;1697;1986
;2752;162;1057;1706;1772;765;2716;188;5093;1910;81;2793;272;1929;1773
;134;44;1210;593;3222;1201;1385;1756;488;883;98;9263;4;1828;1067
;1629;1080;5;672;20;365;624;736;30;42;25;3385;270;3546;1261
;2346;1539;0;1904;142;226;2605;54;104;610;545;4933;50;3370;25
;982;1478;0;850;18;79;1912;777;3041;1100;581;3207;1046;6971;2110
;2271;58;0;1129;683;204;3226;83;969;80;241;1034;701;1933;377
;1143;13;0;1485;15;63;3535;790;433;33;163;2569;11;2526;38
;2016;54;0;2557;14;577;150;1242;969;137;107;5;8;1147;947
;324;7;0;1019;15;15;3612;41;8511;117;76;107;8;1064;1040
;28;27;0;1099;14;113;590;57;11556;7;261;1155;7;1227;607
;14;5;0;29;15;15;1212;18;10376;69;308;1180;83;1125;138
;49;2;0;100;14;9;625;34;12852;49;11;566;62;993;49
;88;2;0;10;15;3;711;445;9939;14;103;460;22;203;14
;2;169;0;265;14;3;544;552;5305;14;38;10;8;305;6
;4;2;0;529;15;3;91;386;4861;14;11;55;110;87;37
;6;169;0;266;14;0;23;797;4244;14;36;51;27;29;45
;4;2;0;17;15;0;0;757;172;5;11;38;17;185;2
;3;169;0;62;14;0;234;40;1124;7;4;20;27;28;3
;3;2;0;270;15;0;13;18;0;0;3;11;17;22;3
;3;169;0;176;14;0;153;7;0;0;3;5;27;154;3
;3;2;0;8;15;0;1184;38;0;0;3;4;17;40;3
;3;169;0;16;14;0;1148;31;0;0;3;4;27;134;3
;0;2;0;9;15;0;27;25;0;0;3;0;17;24;3
;0;169;0;4;14;0;39;22;0;0;2;0;23;3;3
;0;2;0;3;15;0;5;21;0;0;3;0;17;4;0
;0;169;0;7;14;0;15;11;0;0;3;0;23;0;3
;0;2;0;3;15;0;69;18;0;0;3;0;103;4;3
;0;169;0;2;14;0;53;19;0;0;2;0;0;3;0
;0;2;0;0;15;0;4;4;0;0;3;0;0;2;3




























































