;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;-3;1;0;1;1;0;-1;-1;0;0;1;1;-3;1;-1;0;0;-1;-1;1;0;1;0;1;0
;-4;1;1;1;1;2;0;-2;2;1;-3;1;-4;1;1;1;2;-2;0;3;2;3;2;3;2
;-2;0;4;-1;0;4;-2;0;4;2;0;1;-2;0;-1;2;4;-2;1;2;4;1;4;2;4
;5;1;3;-1;1;2;-2;-1;2;2;-1;3;5;1;-2;2;2;-2;-2;-1;2;1;-9;-9;2
;4;1;3;0;1;7;-2;-3;8;1;-1;0;6;1;-1;-1;8;-2;-1;-1;7;1;-9;-10;8
;3;0;3;-2;0;-4;-2;-11;7;0;-3;1;8;1;-1;-2;7;-2;-2;-2;-4;-1;-10;-15;7
;4;-1;0;-15;0;0;3;0;7;-2;-5;1;7;-3;-1;-8;7;3;-3;-7;0;0;-9;-16;7
;5;-2;-1;-14;-1;-1;8;-1;7;3;-5;-3;6;0;-1;2;7;8;-4;-10;-1;0;-10;-21;7
;6;0;2;-14;0;0;4;-3;7;3;-4;0;-2;-4;-1;2;7;4;-11;-12;0;1;-9;-20;7
;-6;1;5;-19;-1;0;-1;2;13;3;-4;1;-1;-9;-1;1;13;-1;-10;-15;0;2;-9;-21;6
;-2;1;0;-25;-1;2;-8;3;4;3;-9;-1;0;-9;-1;-3;4;-8;-11;-20;1;-5;-9;-16;4
;1;1;1;-30;-1;0;-7;2;-9;1;-7;-7;-12;-6;-1;-3;-9;-7;-15;-20;-2;-1;-9;-16;3
;0;1;1;-30;-2;-3;-6;4;-10;-12;-6;-12;-7;-18;0;-2;-10;-6;-16;-20;-4;0;-10;-17;4
;-1;0;-3;-37;-1;-6;-6;3;-15;-8;-5;-13;-7;-17;0;-3;-15;-7;-17;-21;-5;0;-8;-19;-10
;0;0;-3;-40;-1;-7;-19;3;-15;-11;-5;-13;-14;-18;-1;-3;-15;-7;-18;-22;-7;-1;-8;-18;-8
;0;3;-7;-40;-2;-9;-20;3;-15;-16;-9;-15;-13;-18;0;-3;-15;-8;-19;-21;-6;-1;-11;-18;-7
