;9;9;10;9;9;9;8;9;8;8;11;11;10;11;9
;8;12;14;7;8;7;12;3;4;4;20;11;14;9;14
;13;6;10;9;8;7;12;-1;2;5;-53;8;9;13;4
;2;3;5;11;17;8;11;-11;-1;-5;-54;9;9;5;-2
;3;-2;17;9;47;2;9;-28;-21;-25;-46;-9;27;-17;-6
;25;-3;19;31;24;-13;8;-51;-36;-38;-46;-5;42;-78;-9
;42;1;13;31;30;-17;8;-56;-39;-59;-73;-3;-39;-91;-7
;67;52;-51;49;8;-14;18;-56;-59;-81;-70;-10;-34;-108;-10
;69;59;-41;51;12;-35;22;-27;-66;-82;-90;-7;-33;-117;-11
;68;59;-40;56;11;-42;38;-47;-75;-90;-90;-6;-34;-140;55
;63;64;-37;45;-13;-39;16;-39;-73;-90;-94;-5;-35;-160;55
;60;64;-38;-15;-18;-32;13;-27;-77;-91;-113;63;-59;-160;53
;54;76;-41;-39;42;-58;-49;-32;-50;-89;-123;-7;-78;-159;52
;57;87;-45;-39;71;-62;-55;-26;-47;-84;-128;-3;-83;-156;49
;57;103;-42;-39;88;-62;-60;-32;-71;-34;-140;4;-100;-160;55
;54;99;-40;-9;91;-64;-66;-7;-62;-36;-140;5;-116;-170;70
;50;96;-42;48;104;-71;-69;-1;-11;-92;-130;4;-124;-197;94
;49;103;-50;45;124;-69;-72;20;14;-102;-129;1;-147;-205;115
;54;136;-32;47;133;-10;-67;23;7;-88;-79;15;-148;-208;111
;55;150;-31;44;139;-5;-78;-37;-3;-87;-75;24;-143;-217;116
;105;122;-33;47;145;-3;-79;-58;-10;-88;-102;18;-144;-220;121
;114;147;-31;15;160;2;-52;-58;-19;-89;-108;4;-156;-278;121
;112;127;-27;9;159;-1;-52;-75;-11;-92;-113;-1;-157;-276;128
;121;132;-28;5;169;-35;-48;-68;-14;-94;-123;-25;-161;-281;128
;140;156;-36;-3;168;-41;-45;-79;27;-98;-117;-19;-138;-290;128
;145;159;-62;-13;175;-34;-50;-82;29;-91;-122;-16;-159;-290;128
;136;170;-86;-12;179;-84;-60;-82;37;-17;-122;-13;-179;-306;128
;170;181;-88;-15;179;-100;-39;-80;74;-71;-183;-13;-183;-306;128
;177;194;-62;-15;179;-95;-39;-39;71;-72;-175;-60;-186;-318;128
;182;194;-59;10;179;-112;-35;-69;83;-96;-189;-63;-190;-316;128
;189;194;-30;-21;181;-123;-56;-76;88;-104;-188;-74;-199;-313;128
;201;190;35;-25;188;-110;-82;-70;88;-102;-189;-61;-196;-309;128
;208;196;66;-27;188;-118;-88;-72;109;-88;-195;-69;-196;-324;128
;204;137;66;-17;194;-118;-101;-96;118;-113;-199;-60;-198;-325;128
;215;133;62;-39;254;-118;-110;-96;120;-116;-205;-94;-203;-325;128
;225;136;77;-47;254;-118;-122;-111;132;-123;-201;-97;-206;-327;128
;225;134;83;-58;253;-118;-123;-109;135;-123;-250;-72;-209;-328;128
;232;111;85;-69;255;-118;-132;-105;139;-123;-248;-35;-218;-322;128
;232;117;91;-65;260;-118;-133;-114;147;-123;-224;-35;-218;-331;128
;232;120;94;-60;259;-118;-129;-115;147;-123;-217;-35;-218;-329;128




























































