;11;9;11;8;9;9;0;0;11;9;11;9;9;11;0
;12;9;11;2;11;11;-6;2;1;3;1;12;14;1;2
;2;11;13;-22;1;12;-3;-6;6;7;-8;17;3;10;1
;17;9;8;-17;-21;12;0;-30;-1;3;-8;21;-23;4;-8
;15;9;3;-13;-27;0;60;-43;-3;-8;45;27;-19;-20;-4
;-9;-54;5;-13;-40;-26;57;-45;-21;-11;45;22;-76;-34;44
;-76;-54;2;-14;-36;-78;53;-49;-19;-6;46;21;-84;-59;44
;-73;-52;1;-15;-4;-77;23;-49;-17;-2;58;20;-89;-63;41
;-70;-56;28;-17;6;-96;38;-53;-23;16;57;41;-87;-72;41
;-77;-52;3;-72;31;-102;37;-52;-19;15;55;37;-88;-89;39
;-75;-52;2;-73;36;-102;58;-56;10;8;55;34;-92;-133;41
;-74;-49;-9;-76;33;-100;65;-86;7;11;61;-16;-89;-133;39
;-16;-53;-26;-75;29;-98;72;-88;-53;13;65;-14;-89;-71;11
;18;-26;29;-67;31;-104;94;-67;-72;72;70;-10;-89;-76;10
;27;-28;46;-63;70;-116;114;-12;-73;47;73;-7;-87;-78;18
;32;-36;49;-61;71;-113;136;-59;-75;30;77;-7;-83;-84;32
;21;-38;42;-84;87;-120;136;-37;-78;30;88;-11;-84;-84;34
;28;-9;48;-42;90;-123;146;-35;-111;67;17;3;-83;-106;27
;40;-1;36;-34;97;-115;170;-50;-120;69;4;3;-80;-107;52
;53;5;67;-33;122;-149;178;-46;-117;43;0;13;-85;-112;60
;68;20;66;-35;127;-165;182;-44;-114;58;1;65;-111;-112;68
;49;40;65;-34;118;-169;189;-42;-108;69;2;88;-121;-129;70
;9;50;88;-35;118;-195;238;-41;-111;84;1;80;-118;-119;83
;5;70;92;-41;140;-246;245;-59;-111;96;37;57;-118;-118;116
;5;64;74;-66;140;-247;257;-94;-115;98;38;50;-143;-121;122
;3;87;73;-61;147;-265;251;-104;-109;37;46;47;-163;-125;132
;-32;144;78;-57;146;-265;199;-109;-114;-1;42;74;-165;-80;139
;-45;148;80;-64;151;-266;197;-121;-123;-1;42;78;-164;-69;163
;-44;155;79;-56;147;-284;195;-123;-122;-1;52;72;-185;-63;171
;-45;159;76;-30;159;-284;194;-128;-118;8;73;46;-186;-69;175
;-30;158;77;-14;157;-291;196;-138;-138;6;128;44;-192;-68;178
;-36;162;55;6;166;-296;213;-139;-143;-1;128;39;-214;-81;188
;-35;151;61;5;171;-286;192;-140;-145;7;156;67;-221;-103;187
;-34;153;55;18;173;-289;197;-152;-174;6;168;68;-226;-105;190
;-37;158;53;32;174;-291;197;-149;-174;11;170;68;-232;-111;189
;-43;217;60;57;176;-296;201;-151;-174;18;172;71;-237;-114;203
;-43;223;61;48;174;-301;201;-120;-174;46;171;111;-243;-106;201
;-38;223;90;54;178;-302;200;-121;-174;44;162;111;-242;-105;202
;-40;223;89;53;178;-304;203;-122;-174;47;168;115;-240;-108;200
;-41;223;87;119;179;-305;204;-130;-174;51;194;117;-249;-115;203




























































