;9;11;9;9;0;9;9;9;9;0;11;8;9;9;8
;21;12;13;14;16;14;21;14;14;0;12;4;17;17;4
;23;22;8;3;18;3;31;12;3;61;22;7;21;21;7
;34;7;12;-5;19;-5;22;26;-1;64;22;6;35;40;5
;46;78;27;-6;20;-6;4;39;-28;66;30;16;59;59;8
;54;71;48;-7;30;-3;8;44;-28;58;40;20;63;63;-2
;56;86;64;-2;74;-10;22;52;-7;55;65;16;63;71;-2
;54;78;56;8;86;-9;21;67;-12;67;75;15;63;92;0
;63;77;57;29;92;-4;21;65;-11;92;66;20;63;85;1
;64;80;60;33;98;54;89;62;-3;96;78;17;63;97;-7
;114;83;58;29;102;64;88;78;34;115;88;29;63;93;22
;113;83;46;57;106;71;104;75;42;125;78;72;63;97;26
;120;91;83;56;99;98;120;137;41;126;88;86;63;93;27
;128;96;89;112;98;120;122;135;48;126;78;82;63;97;30
;128;92;85;116;104;140;144;140;50;122;88;87;63;93;21
;106;104;91;114;123;136;159;144;51;119;78;84;63;97;15
;116;106;85;151;125;130;185;147;54;122;88;86;63;93;13
;120;91;91;154;117;150;195;154;77;118;78;88;63;97;3
;130;84;90;170;120;155;203;157;94;119;88;76;63;93;3
;109;88;83;189;123;160;205;152;113;118;78;99;63;97;6
;105;111;87;196;115;153;212;158;114;117;88;101;63;93;28
;98;135;82;209;144;162;210;169;125;140;78;117;63;97;34
;95;158;82;217;148;193;221;184;140;139;88;125;63;93;60
;103;159;108;217;174;198;225;184;168;145;78;135;63;97;85
;101;157;105;220;176;205;239;184;178;172;88;144;63;93;126
;98;182;114;211;175;210;236;184;188;196;78;147;63;97;133
;97;188;159;191;181;220;246;184;189;215;88;150;63;93;141
;100;196;173;201;185;225;248;184;196;223;78;156;63;97;149
;102;199;186;208;191;230;247;184;202;228;88;170;63;93;158
;104;208;191;206;210;238;247;184;200;242;78;177;63;97;152
;113;200;216;215;218;243;247;184;200;241;88;180;63;93;155
;99;204;221;216;222;249;247;184;200;254;78;185;63;97;171
;107;212;220;216;228;249;247;184;200;258;88;189;63;93;176
;125;212;224;216;234;249;247;184;200;255;78;193;63;97;184
;123;212;230;216;239;249;247;184;200;264;88;199;63;93;191
;127;212;227;216;241;249;247;184;200;266;78;200;63;97;189
;125;212;230;216;246;249;247;184;200;271;88;202;63;93;197
;125;212;230;216;247;249;247;184;200;271;78;205;63;97;194
;123;212;230;216;247;249;247;184;200;270;88;206;63;93;196
;127;212;230;216;247;249;247;184;200;274;78;206;63;97;199




























































