;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718;1882;1718
;2752;1835;2586;2284;2453;2586;2752;2271;2845;1373;2752;1694;2805;836;2763;1857;2805;2234;2805;2234;2396;3502;2547;1989;2453;2586;2547;1435;2752;4181
;2566;2183;3046;1938;5675;4235;4227;2488;2233;565;3027;2215;3037;1313;3477;3924;3908;2989;3908;4686;6539;1790;2425;2536;5675;5297;1838;3062;3694;3941
;4528;2190;4557;2436;5073;4994;5446;1897;969;2293;3164;1790;2946;1396;7466;4613;3663;4277;8397;5030;2679;2534;6238;2986;9129;3973;5234;6347;5824;3457
;367;3000;4083;3928;4099;5137;5641;1288;3216;1420;3269;1645;3221;1617;7176;5052;8993;5805;11883;6960;4334;4097;8015;4521;4963;2526;6108;9486;4228;1795
;2623;4838;2438;4813;6685;3825;5654;2057;1667;1807;3310;1974;3140;2157;6072;4624;3228;5044;3085;6147;5121;4521;2651;3556;4580;39;1995;3048;3527;2635
;2196;913;4070;6231;3421;2462;4771;2781;1618;5425;3637;6265;3173;1899;611;4144;4583;4362;3513;3610;7411;3304;2798;4097;6058;1131;908;1643;3233;2597
;1557;22;1956;2236;3971;4312;5521;3949;2584;4695;4534;8779;4207;1975;177;5508;3442;2599;73;4192;4166;3087;3830;2416;2381;3453;860;1313;3714;2746
;2528;1148;3977;2552;2933;3465;6250;4170;3243;1473;4674;6347;4625;2043;1984;1595;34;4228;1919;4103;2214;3033;2649;4116;2603;3020;23;1929;3489;2868
;2804;1331;6457;3261;3083;2937;9281;916;2605;391;5132;7461;3438;21;3717;3125;3934;3667;2097;2405;1974;2609;2680;4418;1447;2888;815;1857;4206;2570
;4039;1145;5482;2541;3351;3337;3742;2118;1703;3349;814;9517;3587;2091;4246;3533;1727;6755;503;3874;3067;2535;2630;4760;1604;3066;782;1919;7349;3539
;3985;1850;6379;2747;2560;4531;2502;1931;1172;1814;1100;5959;4934;686;4522;2911;2548;4774;2989;3581;3356;4298;2891;2604;1407;2189;641;3139;7361;2346
;4380;1829;6503;2891;3602;4511;4520;2023;2150;1506;2408;2825;2219;451;3276;2443;35;3181;2837;3867;2710;1855;6890;2494;1440;2422;109;3327;5070;4912
;2403;2188;3723;27;2793;4581;1181;4032;2564;2453;601;2934;1321;59;3380;5227;38;2368;1607;3933;1953;2325;4535;6762;1070;1925;1211;3657;5350;4839
;2116;2194;4870;1034;2552;5240;1156;2246;2759;442;967;2891;1869;3269;5120;3822;38;2908;1165;2623;528;4273;6144;8107;47;2433;998;2185;7073;4734
;3065;1929;5744;1382;3048;4290;918;2004;4166;27;852;1890;3991;4279;1725;3957;173;2774;1387;2081;2860;4196;6065;6297;728;2119;91;2820;4566;6895
;2333;1482;5517;90;5519;4457;6221;1385;3649;330;1069;3753;1431;3997;6884;3937;2071;6565;293;1873;1444;4678;2185;6032;571;1969;46;3830;5494;3480
;2115;1718;4598;366;4437;6622;2321;926;2729;403;211;4574;2246;6017;3721;686;2073;1976;392;1679;2065;2969;2569;6725;88;1858;506;4921;2710;46
;1312;131;4034;1736;3497;5910;3494;1275;2012;263;1104;2751;2802;4455;3695;6286;2878;2654;604;1087;384;1488;699;3809;250;1820;988;4735;2765;1956
;1733;224;4959;1300;2609;5438;3636;3012;3086;116;3159;2020;4855;4499;3769;407;2363;3210;629;1951;548;2566;5585;2175;517;2721;156;3562;2930;1738
;1187;33;5171;1446;2952;4277;2890;143;2153;161;4448;4060;6655;5397;930;1879;3895;8874;659;2042;2265;3017;2591;3748;1438;2893;105;4925;3463;1816
;1885;62;4136;1044;3546;3841;4174;3299;1689;17;4360;2119;3036;3770;499;1904;4802;4620;91;1923;1003;2543;265;2637;256;1706;79;3377;2807;3978
;2442;216;4936;1206;3223;3919;1978;942;2443;149;6699;2180;3600;243;970;2065;5896;3024;43;2293;849;3944;633;3502;722;5931;7;5686;2694;2385
;2058;2734;4979;530;2371;3480;1998;1808;2460;8;5066;2980;6505;4447;196;5182;3515;200;1199;2112;48;2976;1788;1744;475;5827;43;4611;8119;0
;4235;1885;3284;267;2640;3661;645;768;1630;4;5191;3182;4915;567;849;3716;2213;1755;51;1709;80;3912;1189;260;345;3611;13;3359;8119;0
;3728;1072;3130;41;3247;4456;672;1027;1919;19;3158;3414;810;3446;1376;3780;4762;1454;860;2041;477;2796;1020;2716;96;3592;11;4446;8119;0
;2828;44;2987;9;403;4596;719;1185;1983;3;2938;5196;9251;4066;854;4130;1728;1482;418;39;236;9160;3384;491;13;3120;9;4608;8119;0
;3963;249;3016;4;1284;8026;1861;1722;2178;4;1891;3640;8952;859;336;2224;2558;487;1040;1961;594;2443;3193;1522;2;3473;29;5807;8119;0
;3075;842;3540;4;80;8002;901;1470;2304;2;1179;596;21573;3353;409;1689;2578;495;396;2505;63;9259;4539;2110;10;5274;8;5835;8119;0
;3245;21;3223;0;2772;7086;942;1470;818;4;132;644;5488;1672;30;1688;2381;51;378;3368;435;3343;598;2278;21;3816;62;7686;8119;0
;1535;3;3223;0;2997;1208;939;1012;2328;4;129;806;96;1618;91;1054;2197;473;260;2637;27;5612;119;2555;4;3899;8;6997;8119;0
;1509;3;3223;7;3828;1934;367;1265;1038;3;36;1044;104;2364;204;2488;1684;527;93;3230;4;4477;695;5570;2;1161;130;6981;8119;0
;2475;3;2884;3;1414;477;512;626;3445;2;75;1041;740;1485;173;1287;4552;122;549;1996;8;3758;1783;3322;2;3708;13;6550;8119;0
;2437;3;3433;103;1936;663;240;1196;3330;4;28;1601;32;1525;187;1583;1843;136;28;1576;4;4258;1497;1559;6;3334;188;8071;8119;0
;2157;3;2642;177;1514;530;548;753;4140;3;0;1601;24;3693;59;1846;2344;61;5;2000;4;4634;1552;2638;4;3306;194;8845;8119;0
;3166;2;2161;69;1042;563;172;555;5628;3;0;1601;962;3655;142;1804;3357;41;6;2472;4;2361;318;2498;3;4060;8;8723;8119;0
;1318;2;2681;18;237;168;185;508;5695;3;0;1601;125;3226;7;1859;4098;38;0;2472;69;5111;807;2967;16;4030;3;7902;8119;0
;381;2;2908;168;1071;483;48;666;5348;3;0;1601;923;2496;35;2163;2859;11;0;2472;99;8042;576;2252;2;1811;197;9273;8119;0
;1220;0;2452;14;578;519;14;1115;5266;3;0;1601;343;3748;120;1410;2818;3;0;2472;346;5230;528;1677;0;1811;8;8193;8119;0
;1220;0;1329;6;1032;477;15;1072;5860;3;0;1601;525;3966;7;1466;2571;3;0;2472;16;9602;327;2613;0;1811;92;9758;8119;0




























































